year,location,disaster_type,disaster_magnitude,weather,total_population,food_consumed,water_consumed,meds_consumed
2006,6,2,7.333599907626813,0.8066608609243202,834,978.963838606696,1267.6583048603013,377.5381122714319
2019,6,1,5.39070925376047,1.2795563943417263,913,841.1964005333595,1534.8869781850935,435.2839204675055
2014,7,4,5.903201286895594,0.6110633268685219,193,214.76197848335985,369.24666506945357,76.3942827541899
2010,4,4,2.809176412719526,1.408224003821607,65,71.91232474100329,120.2987207976179,8.752113782222045
2007,8,1,7.775349824708479,1.2751849086922373,351,377.9084535220624,607.1148115567394,129.04924343709308
2020,7,2,4.429044375763806,1.6102420531421946,472,559.9126385303719,721.0039622974841,124.6653426895586
2006,9,3,2.127677020174154,1.4460507067381776,294,281.4821075261027,503.75352499002554,84.75443754014884
2018,7,3,6.313503316043339,1.324409402796135,976,831.8320431294413,1692.8841705823272,116.78753159075713
2022,3,1,2.72872362548246,1.5346682738721817,156,166.71463281682938,306.42733156574263,27.52227749521275
2010,3,3,1.780500081914398,0.7159128703583463,137,149.56617706615089,249.41439809537792,57.02014569284389
2010,8,2,7.895895267234178,1.393039491887906,178,183.3443128302676,294.7371095822637,50.12186891300762
2023,5,2,4.681298115907517,0.7581659042341665,956,843.8871623342108,1685.1021304074447,210.95564119975134
2020,4,1,6.994269701566211,1.8882833117778213,936,937.6683045610066,1434.913884060771,237.37674129248035
2003,8,2,3.3247004784508407,0.6025011572684063,390,360.7015989047842,774.6508059516987,172.28632407880613
2007,6,4,7.295761079341331,1.1455621245361898,53,51.462290397133806,89.04158740116425,21.17877916898509
2023,2,1,1.8954874161722426,1.5436962164831673,376,397.84087380703744,653.8390627236696,78.55623573603485
2002,4,2,3.8477869903588218,1.1870333175023882,459,504.02142675803725,770.0376720873737,67.47333786299176
2021,4,1,8.824494543788228,0.6381428798493536,928,828.6018052625786,1708.685442773917,186.34173987427943
2020,6,3,7.351917730944049,1.330068524190061,355,341.55620121186735,650.0462081035027,166.2474160497722
2001,6,2,4.978047442517505,1.4624478632410318,957,868.6350493755957,1777.7817255881914,318.3322071288864
2023,1,4,3.7182197724950807,1.5556884664857615,656,576.9209354773544,1071.95097931271,205.58520677463102
2011,8,2,7.977085600179812,1.0598897216941383,770,857.2832637587181,1276.5323652481654,260.68922870527814
2005,6,1,5.358782072676125,1.3454899565431433,274,318.8540953102944,428.1594186601805,67.51669792581808
2001,3,1,7.067400142952889,1.1760297124083696,397,376.3928710867108,725.6187294114533,167.86859482673864
2020,9,2,7.032861442529312,1.50808405812838,370,407.18928080731746,562.3624685570957,114.44636489643698
2000,2,4,1.1435654285479346,1.3753354509872278,608,704.5492543734248,1093.6954299991316,89.19308995337109
2011,8,4,2.0100302623409076,1.2886343293387024,230,261.8434273687813,445.0150267579379,34.873991484273795
2021,3,4,6.277034931157938,0.8742865502573729,667,582.3746120622654,1297.5925214545928,209.9340202868986
2011,5,1,2.2929584902869715,0.5030277766223509,760,898.7127319800618,1310.6343489405854,360.7173462935351
2024,6,2,3.0439467572448375,0.761122512967144,435,413.54170063472645,752.3985521863435,97.1532691716586
2016,6,3,8.573103633596858,0.675599062136253,667,624.1094084011795,1026.1692225331738,298.69358385163946
2009,4,1,5.481458066999295,1.1736271175164201,841,693.8018984962454,1543.5566931987964,341.1417553251351
2015,3,4,7.005836055994777,1.418387226142767,821,816.4594280080436,1568.626992063053,163.48160625062823
2014,4,2,5.463845910261119,0.8196275130272123,157,132.44605506225034,254.70542178646997,17.982198994260028
2014,1,4,5.420108918261802,1.9085856439507807,580,521.6612384551628,992.1772556736757,81.6285655130328
2018,4,3,1.7532152810055832,0.5100231938358317,459,425.3906653564729,881.0136277876296,179.65148625439002
2011,1,4,3.7493055408728244,1.6584515227480143,345,387.6180326418524,668.8032806717447,62.05442384960924
